Date,equity
2018-10-23,99878.67622470984
2018-10-24,97371.08864687642
2018-10-25,99739.74247294378
2018-10-26,99709.8205502019
2018-10-29,99108.95866626537
2018-10-30,100664.13163227592
2018-10-31,100633.93239278624
2018-11-01,100633.93239278624
2018-11-02,100633.93239278624
2018-11-05,100633.93239278624
2018-11-06,100633.93239278624
2018-11-07,100633.93239278624
2018-11-08,100547.56066339138
2018-11-09,101435.79059818789
2018-11-12,101405.35986100843
2018-11-13,101405.35986100843
2018-11-14,101405.35986100843
2018-11-15,103915.77630180598
2018-11-16,103884.60156891543
2018-11-19,103884.60156891543
2018-11-20,101807.68183982915
2018-11-21,102599.346317964
2018-11-23,101729.48216090069
2018-11-26,103807.6840234924
2018-11-27,103776.54171828537
2018-11-28,103776.54171828537
2018-11-29,103776.54171828537
2018-11-30,103776.54171828537
2018-12-03,103776.54171828537
2018-12-04,103776.54171828537
2018-12-06,102306.28584778201
2018-12-07,100348.06900623023
2018-12-10,99807.60819324058
2018-12-11,99251.7924151072
2018-12-12,100009.07125541143
2018-12-13,99249.1225291382
2018-12-14,97982.01652639858
2018-12-17,96270.94744864089
2018-12-18,96404.03680385224
2018-12-19,94827.24202343689
2018-12-20,93399.18196110363
2018-12-21,91011.69250033677
2018-12-24,88857.09134412954
2018-12-26,93596.59759081592
2018-12-27,93568.51861153866
2018-12-28,93568.51861153866
2018-12-31,93568.51861153866
2019-01-02,93568.51861153866
2019-01-03,93568.51861153866
2019-01-04,97687.4317766451
2019-01-07,97658.12554711211
2019-01-08,97658.12554711211
2019-01-09,97658.12554711211
2019-01-10,97658.12554711211
2019-01-11,97658.12554711211
2019-01-14,97658.12554711211
2019-01-15,97658.12554711211
2019-01-16,95549.30066342876
2019-01-17,95023.08823139506
2019-01-18,93387.31285973874
2019-01-22,94790.71157254724
2019-01-23,94762.27435907547
2019-01-24,94762.27435907547
2019-01-25,94762.27435907547
2019-01-28,95998.67705994034
2019-01-29,95969.87745682236
2019-01-30,95969.87745682236
2019-01-31,96042.30590670751
2019-02-01,96164.29072222294
2019-02-04,95006.92765121257
2019-02-05,94457.92025509404
2019-02-06,94509.63555051247
2019-02-07,95570.34015789184
2019-02-08,95541.66905584448
2019-02-11,95541.66905584448
2019-02-12,95541.66905584448
2019-02-13,95278.47335526529
2019-02-14,95256.40339048697
2019-02-15,93710.07365755916
2019-02-19,93520.72073806517
2019-02-20,93096.37762005848
2019-02-21,93488.11087250701
2019-02-22,93134.5069633119
2019-02-25,92870.64373380068
2019-02-26,93093.16642181255
2019-02-27,93147.54828795267
2019-02-28,93119.6040234663
2019-03-01,93119.6040234663
2019-03-04,93075.62026722041
2019-03-05,93047.69758114025
2019-03-06,93047.69758114025
2019-03-07,93047.69758114025
2019-03-08,93047.69758114025
2019-03-11,93047.69758114025
2019-03-12,93047.69758114025
2019-03-13,92365.40738801342
2019-03-14,92354.82574036504
2019-03-15,91348.82145344764
2019-03-18,90855.68585798402
2019-03-19,90904.52659307496
2019-03-20,90944.43071653025
2019-03-21,89073.19928153761
2019-03-22,90978.82754750922
2019-03-25,90927.43191007407
2019-03-26,91946.01748727918
2019-03-27,91918.433682033
2019-03-28,92686.37422562204
2019-03-29,92658.56831335436
2019-04-01,92658.56831335436
2019-04-02,92391.52718608979
2019-04-03,91916.5051631874
2019-04-04,91976.0899638052
2019-04-05,91497.3033019606
2019-04-08,91344.6058602717
2019-04-09,91928.76661665228
2019-04-10,91901.18798666728
2019-04-11,92042.7792907845
2019-04-12,92015.16645699728
2019-04-15,92211.76291687886
2019-04-16,92184.09938800379
2019-04-17,91920.49226914339
2019-04-18,91896.70778264944
2019-04-22,91656.59935305896
2019-04-23,91629.10237325304
2019-04-24,91754.0873905934
2019-04-25,91561.15630018916
2019-04-26,91694.45508851434
2019-04-29,91241.57962148133
2019-04-30,91466.51346305793
2019-05-01,92158.22750044346
2019-05-02,92130.58003219335
2019-05-03,92130.58003219335
2019-05-06,92240.83260276492
2019-05-07,94038.30884647762
2019-05-08,94010.09735382369
2019-05-09,93697.44288906701
2019-05-10,93954.43191818915
2019-05-13,90377.21225450112
2019-05-14,91356.58796960238
2019-05-15,91911.92281279589
2019-05-16,92794.13715802543
2019-05-17,92766.29891687803
2019-05-20,92095.08853919515
2019-05-21,93168.7327135704
2019-05-22,93140.78209375634
2019-05-23,93140.78209375634
2019-05-24,93396.58704349727
2019-05-28,93368.56806738424
2019-05-29,92637.16874334654
2019-05-30,92747.43386506334
2019-05-31,91412.54039068863
2019-06-03,90782.6224079461
2019-06-04,93257.17425103828
2019-06-05,93229.19709876298
2019-06-06,93229.19709876298
2019-06-07,93229.19709876298
2019-06-10,93229.19709876298
2019-06-11,93197.39177481912
2019-06-12,93680.75305264367
2019-06-13,93652.64882672788
2019-06-14,93652.64882672788
2019-06-17,93652.64882672788
2019-06-18,93652.64882672788
2019-06-19,93325.39924376912
2019-06-20,92591.93914255535
2019-06-21,92955.20878294823
2019-06-24,92910.42133955292
2019-06-25,92882.54821315107
2019-06-26,92882.54821315107
2019-06-27,92882.54821315107
2019-06-28,92882.54821315107
2019-07-01,92120.20257088797
2019-07-02,92285.62321717714
2019-07-03,91542.25617336803
2019-07-05,91511.34419969516
2019-07-08,92144.95595549601
2019-07-09,91936.29447187339
2019-07-10,92263.82203001896
2019-07-11,92275.5485183026
2019-07-12,91544.30173704447
2019-07-15,91475.328705839
2019-07-16,92001.6684473657
2019-07-17,91974.06794683148
2019-07-18,91974.06794683148
2019-07-19,91974.06794683148
2019-07-22,91974.06794683148
2019-07-23,91974.06794683148
2019-07-24,91184.39811910354
2019-07-25,91888.07367752097
2019-07-26,91646.02674881411
2019-07-29,91972.37753329877
2019-07-30,91944.78582003879
2019-07-31,92662.84866943295
2019-08-01,92635.04981483212
2019-08-02,91908.89390411027
2019-08-05,88752.65854932673
2019-08-06,89994.520382398
2019-08-07,89970.73515912554
2019-08-08,91887.69649914962
2019-08-09,91860.13019019987
2019-08-12,91860.13019019987
2019-08-13,92895.64070906944
2019-08-14,92867.77201685672
2019-08-15,92953.65847718314
2019-08-16,94756.97786632551
2019-08-19,94728.55077296561
2019-08-20,94728.55077296561
2019-08-21,94728.55077296561
2019-08-22,94728.55077296561
2019-08-23,94728.55077296561
2019-08-26,94728.55077296561
2019-08-27,94728.55077296561
2019-08-28,95805.34661429413
2019-08-29,95776.60501030984
2019-08-30,95776.60501030984
2019-09-03,95776.60501030984
2019-09-04,95776.60501030984
2019-09-05,95776.60501030984
2019-09-06,95782.36519891424
2019-09-09,95633.02045762735
2019-09-10,95301.92052946278
2019-09-11,94229.54168141478
2019-09-12,93904.20720419855
2019-09-13,93931.83518773876
2019-09-16,93998.47111700289
2019-09-17,94052.04333538833
2019-09-18,94603.10550974774
2019-09-19,94574.72457809483
2019-09-20,94574.72457809483
2019-09-23,94574.72457809483
2019-09-24,94574.72457809483
2019-09-25,94574.72457809483
