Date,equity
2023-04-17,84228.210495372
2023-04-18,84169.93125166825
2023-04-19,84162.81124937284
2023-04-20,84031.9959199809
2023-04-21,84080.3832693763
2023-04-24,84137.46562774661
2023-04-25,84552.0795965661
2023-04-26,84261.87283257832
2023-04-27,84258.17951357194
2023-04-28,83436.82961009603
2023-05-01,83364.23936937863
2023-05-02,83130.87775955646
2023-05-03,83593.26421457401
2023-05-04,84252.48271785778
2023-05-05,84674.8389714588
2023-05-08,84705.79711760773
2023-05-09,84658.91118438198
2023-05-10,83988.31885407661
2023-05-11,83980.41639496012
2023-05-12,84006.23919193166
2023-05-15,84328.53304094948
2023-05-16,84472.84020424675
2023-05-17,83512.11380292349
2023-05-18,82657.22447236761
2023-05-19,82736.11280054353
2023-05-22,82793.99780882266
2023-05-23,83695.02504615863
2023-05-24,84055.29881407917
2023-05-25,85098.70276529813
2023-05-26,85228.51598659367
2023-05-30,84975.64963295565
2023-05-31,84950.36248215853
2023-06-01,84411.6953686785
2023-06-02,84914.56065886765
2023-06-05,84717.13821053514
2023-06-06,84974.02832701076
2023-06-07,85816.08537814028
2023-06-08,85382.72304343274
2023-06-09,85099.44060618599
2023-06-12,84672.11360391104
2023-06-13,84604.77231876289
2023-06-14,84514.68806765691
2023-06-15,83791.08814861285
2023-06-16,83992.57780349156
2023-06-20,84269.74848223056
2023-06-21,84816.34249247675
2023-06-22,85192.8698755289
2023-06-23,84773.70487975086
2023-06-26,84631.59681209474
2023-06-27,84884.31008852167
2023-06-28,84873.49348487236
2023-06-29,84955.46106491346
2023-06-30,84909.15243240444
2023-07-03,84884.10746632711
2023-07-05,85198.38025437067
2023-07-06,85928.27755418501
2023-07-07,85813.09684915001
2023-07-10,85426.20371442201
2023-07-11,85204.52936888572
2023-07-12,84783.59203493787
2023-07-13,84519.46806603858
2023-07-14,84769.29188999672
2023-07-17,84322.93973506599
2023-07-18,83725.80588099452
2023-07-19,83490.06921489707
2023-07-20,84321.4376651924
2023-07-21,84380.15051816482
2023-07-24,84146.9061397791
2023-07-25,84279.92872426947
2023-07-26,83751.21043281039
2023-07-27,84126.86705569286
2023-07-28,84981.09796771164
2023-07-31,84763.30771158371
2023-08-01,84793.07218761863
2023-08-02,85723.51219745143
2023-08-03,85650.5700229834
2023-08-04,85263.16488351885
2023-08-07,85738.88089052319
2023-08-08,85413.39907245581
2023-08-09,84883.7398731114
2023-08-10,84833.27246074035
2023-08-11,84580.02197398742
2023-08-14,85137.51507211446
2023-08-15,84042.80482624934
2023-08-16,84283.0659092339
2023-08-17,84052.41354432334
2023-08-18,83917.22036188105
2023-08-21,84423.07195910487
2023-08-22,84673.27753221524
2023-08-23,83922.18715238408
2023-08-24,84454.22264542273
2023-08-25,84098.3720785152
2023-08-28,83716.61956929478
2023-08-29,83119.14071402428
2023-08-30,83313.54582062401
2023-08-31,83268.82346403087
2023-09-01,82856.23600947043
2023-09-05,82655.74177233466
2023-09-06,82916.75516472233
2023-09-07,82850.26585890712
2023-09-08,82793.0410205305
2023-09-11,83046.57239179175
2023-09-12,82333.01734235372
2023-09-13,82212.95610969777
2023-09-14,82972.2298510874
2023-09-15,81910.37320413909
2023-09-18,81907.8462060811
2023-09-19,81845.3306014532
2023-09-20,81386.56193396373
2023-09-21,80526.38313068221
2023-09-22,80594.51819176621
2023-09-25,80777.95128297592
2023-09-26,80571.4702016735
2023-09-27,80786.37110052345
2023-09-28,81081.03093609122
2023-09-29,81205.26151002316
2023-10-02,81261.5953991496
2023-10-03,81017.52104688612
2023-10-04,80590.77594106137
2023-10-05,80582.11919084082
2023-10-06,80822.44838804359
2023-10-09,81010.75364679634
2023-10-10,80889.22366796082
2023-10-11,80914.5311782613
2023-10-12,80470.96598258958
2023-10-13,80962.64863545606
2023-10-16,81523.6605521392
2023-10-17,81489.70403563356
2023-10-18,81151.49441667658
2023-10-19,81218.72296367557
2023-10-20,80530.73323836239
2023-10-23,80379.81613324658
2023-10-24,80989.94530356601
2023-10-25,81452.94304302955
2023-10-26,81306.47565353163
2023-10-27,81498.74294985646
2023-10-30,81852.46383629071
2023-10-31,81654.20727438926
2023-11-01,81060.63529882648
2023-11-02,81535.72474199491
2023-11-03,82242.89709112233
2023-11-06,82155.16987229565
2023-11-07,82192.4667105684
2023-11-08,82103.58824702557
2023-11-09,82075.7414698527
2023-11-10,81009.41364279386
2023-11-13,81142.28130318064
2023-11-14,81971.35141591386
2023-11-15,82091.7716668913
2023-11-16,81766.66320676159
2023-11-17,81627.05376443919
2023-11-20,81665.28362265535
2023-11-21,81929.39868596457
2023-11-22,81733.9824294528
2023-11-24,81837.9528938764
2023-11-27,81983.06636464747
2023-11-28,81824.25408137345
2023-11-29,81767.94346802533
2023-11-30,81501.31334842302
2023-12-01,80805.74813376757
2023-12-04,80782.17845122407
2023-12-05,81025.5958173211
2023-12-06,80788.51268985172
2023-12-07,80882.049848503
2023-12-08,80965.7709352825
2023-12-11,80747.86886972704
2023-12-12,80596.39425044245
2023-12-13,79631.65493295935
2023-12-14,79096.95589207456
2023-12-15,79173.52063661627
2023-12-18,79237.51013975202
2023-12-19,78928.43387555027
2023-12-20,79731.95592893453
2023-12-21,79508.88351336494
2023-12-22,79393.50958340245
2023-12-26,79211.81592406769
2023-12-27,79269.20949983182
2023-12-28,79336.30072111779
2023-12-29,79688.83442779709
2024-01-02,78901.03659374545
2024-01-03,79311.01131298301
2024-01-04,79112.6439230549
2024-01-05,78982.06682474069
2024-01-08,79085.04382606667
2024-01-09,79289.59797660007
2024-01-10,79101.4580717455
2024-01-11,79210.58793794292
2024-01-12,79146.41321928019
2024-01-16,79452.8008680693
2024-01-17,79783.01726224308
2024-01-18,79858.0636529746
2024-01-19,80312.8328055559
2024-01-22,80011.03597196138
2024-01-23,80087.65087603657
2024-01-24,80107.76912920979
2024-01-25,79761.0366865308
2024-01-26,79761.02536858532
2024-01-29,79321.73873992384
2024-01-30,79022.61938052902
2024-01-31,79872.7762306501
2024-02-01,79420.89209373154
2024-02-02,80020.00853122995
2024-02-05,80381.94627543009
2024-02-06,80469.18229410792
2024-02-07,79854.26230206415
2024-02-08,79636.25772006757
2024-02-09,78939.8965145762
2024-02-12,78377.1889840398
2024-02-13,79941.27895284975
2024-02-14,79890.00191913376
2024-02-15,79699.00663982941
2024-02-16,79741.01702186203
2024-02-20,80356.36174853682
2024-02-21,80641.69673255473
2024-02-22,79656.49569763085
2024-02-23,79479.68005222427
2024-02-26,79514.16979928418
2024-02-27,79222.12937251832
2024-02-28,79305.06649586791
2024-02-29,79448.43733185082
2024-03-01,79919.82308169047
2024-03-04,79924.76460763729
2024-03-05,79779.41495804273
2024-03-06,80031.784164095
2024-03-07,80529.21389358773
2024-03-08,80182.14710552429
2024-03-11,80182.21405162853
2024-03-12,80523.29757995781
2024-03-13,80423.62600444717
2024-03-14,80815.3517239436
2024-03-15,80485.51870870846
2024-03-18,80979.05628400626
2024-03-19,81014.53928191951
