Date,SPY,IWM,QQQ,XLF,XLK
2018-02-05,232.30215454101562,133.48789978027344,150.06044006347656,23.972518920898438,29.429584503173828
2018-02-06,236.8789825439453,135.0851593017578,154.03684997558594,24.41103744506836,30.275047302246094
2018-02-07,235.59397888183594,135.22052001953125,152.04393005371094,24.428237915039062,29.8869686126709
2018-02-08,226.75714111328125,131.24984741210938,145.6284637451172,23.35342788696289,28.648794174194336
2018-02-09,230.16336059570312,132.45004272460938,148.14337158203125,23.800548553466797,29.35103988647461
2018-02-12,233.54315185546875,133.7044219970703,150.7721710205078,24.13589096069336,29.877727508544922
2018-02-13,234.12408447265625,133.99322509765625,151.5503692626953,24.239070892333984,29.951642990112305
2018-02-14,237.28392028808594,136.40274047851562,154.38796997070312,24.81517219543457,30.50143051147461
2018-02-15,240.31163024902344,137.89169311523438,157.2540740966797,24.952741622924805,31.08355140686035
2018-02-16,240.38206481933594,138.37901306152344,156.55177307128906,24.91834831237793,31.0373477935791
2018-02-20,238.8770294189453,137.2419891357422,156.8649139404297,24.84096336364746,31.065080642700195
2018-02-21,237.68875122070312,137.38636779785156,156.4189453125,24.875350952148438,30.866413116455078
2018-02-22,237.99684143066406,137.1697540283203,156.39993286132812,24.668996810913086,30.903371810913086
2018-02-23,241.79031372070312,138.9565887451172,159.59814453125,25.03873062133789,31.550174713134766
2018-02-26,244.59808349609375,139.8680877685547,161.71450805664062,25.417062759399414,32.04450225830078
2018-02-27,241.54385375976562,137.8556365966797,159.71202087402344,25.176301956176758,31.72111701965332
2018-02-28,239.09706115722656,135.6807861328125,158.68707275390625,24.823768615722656,31.494739532470703
2018-03-01,235.62042236328125,135.31980895996094,156.09625244140625,24.393844604492188,30.972673416137695
2018-03-02,236.8349609375,137.48562622070312,157.52928161621094,24.454029083251953,31.268356323242188
2018-03-05,239.572265625,138.71298217773438,159.2755126953125,24.797977447509766,31.587133407592773
2018-03-06,240.17967224121094,140.21096801757812,159.9492950439453,24.90114974975586,31.656429290771484
2018-03-07,240.0917205810547,141.44732666015625,160.3193817138672,24.858163833618164,31.832008361816406
2018-03-08,241.2534637451172,141.1585235595703,161.20201110839844,24.935546875,31.970590591430664
2018-03-09,245.45179748535156,143.41461181640625,164.33384704589844,25.537443161010742,32.57583236694336
2018-03-12,245.143798828125,143.6673126220703,165.20692443847656,25.451457977294922,32.677459716796875
2018-03-13,243.55950927734375,142.99952697753906,162.95774841308594,25.167699813842773,32.30323028564453
2018-03-14,242.30958557128906,142.32269287109375,162.92926025390625,24.883955001831055,32.27552032470703
2018-03-15,242.04563903808594,141.60975646972656,162.78689575195312,24.892549514770508,32.294002532958984
2018-03-16,242.30810546875,142.40390014648438,162.30287170410156,24.91413116455078,32.26064682006836
2018-03-19,239.02957153320312,141.03221130371094,158.83998107910156,24.732908248901367,31.621074676513672
2018-03-20,239.43600463867188,140.99606323242188,159.36277770996094,24.79331398010254,31.607160568237305
2018-03-21,238.97657775878906,141.81732177734375,158.66885375976562,24.784679412841797,31.417165756225586
2018-03-22,233.00279235839844,138.70758056640625,154.75253295898438,23.869930267333984,30.60613250732422
2018-03-23,228.0364532470703,135.72264099121094,150.67457580566406,23.14502716064453,29.79045295715332
2018-03-26,234.2753143310547,138.68946838378906,156.27342224121094,23.89582061767578,30.921260833740234
2018-03-27,230.2899169921875,136.00308227539062,151.21640014648438,23.4298095703125,29.92949104309082
